service
0,45.0
1,45.0
2,19.0
5,22.0
6,49.0
8,22.0
11,49.0
12,45.0
13,55.0
14,55.0
15,22.0
16,22.0
17,22.0
18,45.0
19,45.0
20,28.0
22,22.0
23,22.0
24,5.0
25,9.0
26,22.0
27,22.0
28,14.0
29,45.0
30,22.0
31,49.0
32,22.0
33,45.0
36,22.0
38,11.0
39,19.0
40,45.0
41,22.0
42,22.0
43,22.0
44,31.0
45,22.0
46,54.0
47,22.0
49,45.0
50,22.0
51,22.0
52,25.0
53,45.0
55,22.0
56,24.0
58,55.0
59,22.0
62,22.0
63,22.0
65,22.0
67,45.0
68,49.0
69,22.0
70,45.0
71,49.0
72,22.0
73,22.0
74,6.0
75,22.0
76,22.0
77,55.0
78,22.0
79,22.0
80,45.0
81,45.0
82,14.0
83,22.0
84,22.0
85,22.0
86,17.0
88,22.0
89,19.0
90,22.0
91,22.0
92,45.0
95,49.0
96,22.0
97,11.0
99,60.0
102,45.0
103,45.0
104,49.0
105,45.0
107,22.0
108,45.0
109,22.0
110,22.0
111,45.0
112,55.0
113,55.0
114,22.0
115,45.0
116,22.0
117,14.0
118,63.0
120,22.0
121,14.0
123,45.0
124,17.0
125,11.0
127,45.0
128,22.0
129,11.0
130,11.0
131,22.0
132,55.0
133,22.0
134,55.0
135,22.0
136,45.0
139,22.0
140,22.0
141,11.0
142,45.0
143,45.0
144,22.0
147,45.0
148,22.0
149,55.0
151,45.0
152,14.0
153,49.0
154,22.0
155,45.0
156,55.0
157,31.0
158,34.0
159,45.0
160,45.0
161,54.0
163,45.0
165,24.0
166,45.0
168,22.0
169,45.0
170,55.0
171,22.0
172,45.0
173,45.0
174,22.0
175,22.0
179,49.0
180,14.0
181,11.0
182,22.0
183,22.0
184,11.0
186,45.0
187,29.0
188,11.0
189,45.0
190,22.0
191,55.0
192,17.0
193,49.0
194,22.0
195,11.0
196,18.0
198,2.0
201,22.0
202,22.0
203,22.0
204,22.0
206,63.0
207,55.0
208,22.0
209,22.0
210,22.0
212,22.0
213,22.0
214,45.0
215,14.0
216,22.0
217,11.0
218,22.0
220,22.0
221,22.0
222,45.0
223,45.0
224,22.0
225,22.0
226,22.0
227,45.0
228,11.0
229,22.0
230,45.0
233,22.0
234,3.0
235,14.0
236,22.0
237,45.0
238,22.0
240,49.0
241,11.0
242,22.0
243,45.0
244,45.0
245,22.0
247,45.0
248,33.0
249,22.0
250,49.0
251,49.0
253,22.0
254,45.0
257,22.0
259,22.0
260,22.0
262,22.0
263,45.0
264,55.0
265,45.0
267,11.0
268,22.0
270,61.0
271,22.0
272,45.0
274,45.0
275,45.0
277,22.0
278,45.0
279,45.0
280,45.0
284,17.0
285,22.0
287,45.0
288,22.0
289,55.0
290,22.0
293,22.0
294,22.0
295,45.0
297,22.0
298,62.0
299,22.0
300,45.0
301,22.0
302,45.0
304,45.0
305,22.0
308,45.0
309,10.0
311,22.0
312,45.0
313,22.0
314,19.0
315,45.0
317,22.0
318,45.0
319,22.0
320,22.0
321,49.0
322,22.0
323,45.0
324,22.0
326,14.0
